,stop,ref,acc,stem,delim,precision,recall,fscore
0,0,0,0,0,0,4.423076923,12.18838453,6.309631212
1,1,0,0,0,0,5.224358974,14.32876152,7.447111772
2,0,0,0,0,1,4.615384615,12.71780303,6.585924967
3,1,1,0,0,0,5.769230769,15.7042957,8.215333538
4,0,0,0,1,1,6.314102564,17.59480103,9.033176336
5,1,1,1,0,0,5.608974359,15.39103258,8.002412687
6,0,0,1,1,1,6.346153846,17.87311647,9.106338232
7,1,1,1,1,0,6.666666667,18.42544608,9.519703357
8,0,1,1,1,1,6.538461538,18.28884657,9.355222259
9,1,1,1,1,1,7.211538462,20.02400377,10.31141944
10,0,1,0,0,0,4.967948718,13.64519161,7.093787226
11,0,0,0,1,0,5.673076923,15.75200841,8.108110106
12,0,0,1,0,0,4.391025641,12.19523532,6.276612963
13,1,0,1,0,0,4.935897436,13.77624112,7.068148421
14,0,0,1,0,1,4.551282051,12.77750028,6.524705149
15,1,0,0,1,0,6.538461538,18.13259657,9.345813401
16,0,1,0,0,1,5.16025641,14.25550144,7.376359424
17,1,1,0,1,0,6.666666667,18.25431513,9.492921018
18,0,1,0,1,1,6.442307692,17.99924034,9.219186511
19,1,0,0,0,1,5.769230769,15.72413697,8.212049298
20,1,1,0,0,1,6.08974359,16.44605395,8.655621797
21,1,0,0,1,1,7.33974359,20.12551684,10.45560145
22,1,1,1,0,1,5.961538462,16.32776945,8.502251299
23,1,0,1,1,1,7.211538462,20.05796287,10.31760451
24,0,1,1,0,0,5,13.65681194,7.121762548
25,0,1,0,1,0,5.801282051,16.05458777,8.288379885
26,0,0,1,1,0,5.801282051,16.05933997,8.280869505
27,1,0,1,1,0,6.474358974,18.09137044,9.272325388
28,1,0,1,0,1,5.544871795,15.34980644,7.92156118
29,0,1,1,0,1,5.128205128,14.29917305,7.345854982
30,0,1,1,1,0,6.057692308,16.80092477,8.652563692
31,1,1,0,1,1,7.307692308,20.04785145,10.41243413
